"","batchNumber","processDate","experimentId","sampleId","referenceGroup","sampleReferral","protein","harvestDate","cellType","genoType","parentalCellLine","cellLineName","sex","cultureConditionsChanges","treatment","cellCount","replicate"
"NLA_2022_002_001","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_001","Yes","A L1","Unknown","2021/12/22","Astrocyte","ApoE3/3","Bioni037-A","Bioni037-A","Female","None","FBS","1000","1"
"NLA_2022_002_002","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_002","Yes","A L2","Unknown","2021/12/22","Astrocyte","ApoE3/3","Bioni037-A","Bioni037-A","Female","None","FBS","1000","2"
"NLA_2022_002_003","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_003","Yes","A L3","Unknown","2021/12/22","Astrocyte","ApoE3/3","Bioni037-A","Bioni037-A","Female","None","FBS","1000","3"
"NLA_2022_002_007","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_007","No","A1 L1","Unknown","2021/12/22","Astrocyte","ApoEnull/null","Bioni037-A","Bioni037-A1","Female","None","FBS","1000","1"
"NLA_2022_002_008","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_008","No","A1 L2","Unknown","2021/12/22","Astrocyte","ApoEnull/null","Bioni037-A","Bioni037-A1","Female","None","FBS","1000","2"
"NLA_2022_002_009","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_009","No","A1 L3","Unknown","2021/12/22","Astrocyte","ApoEnull/null","Bioni037-A","Bioni037-A1","Female","None","FBS","1000","3"
"NLA_2022_002_013","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_013","No","A2 L1","Unknown","2021/12/22","Astrocyte","ApoE2/2","Bioni037-A","Bioni037-A2","Female","None","FBS","1000","1"
"NLA_2022_002_014","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_014","No","A2 L2","Unknown","2021/12/22","Astrocyte","ApoE2/2","Bioni037-A","Bioni037-A2","Female","None","FBS","1000","2"
"NLA_2022_002_015","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_015","No","A2 L3","Unknown","2021/12/22","Astrocyte","ApoE2/2","Bioni037-A","Bioni037-A2","Female","None","FBS","1000","3"
"NLA_2022_002_019","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_019","No","A4 L1","Unknown","2021/12/22","Astrocyte","ApoE4/4","Bioni037-A","Bioni037-A4","Female","None","FBS","1000","1"
"NLA_2022_002_020","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_020","No","A4 L2","Unknown","2021/12/22","Astrocyte","ApoE4/4","Bioni037-A","Bioni037-A4","Female","None","FBS","1000","2"
"NLA_2022_002_021","NLA_2022_002","2022/02/23","VDK_220223_01","VDK_220223_01_021","No","A4 L3","Unknown","2021/12/22","Astrocyte","ApoE4/4","Bioni037-A","Bioni037-A4","Female","None","FBS","1000","3"
